"Đợt","Nhóm hàng","Mã món","Tên món","Cỡ","Mã quy cách (SKU)","Giá bán cỡ này","Mặc định (chỉ M)","Đang bật (để trống khi nhập)","Mã công thức riêng"
"1","Rang xay","SKU-RXA-001","Xưởng Gu Việt - Túi","M","SKU-RXA-001-M","","x","","SKU-RXA-001-M-BOM"
"1","Rang xay","SKU-RXA-001","Xưởng Gu Việt - Túi","L","SKU-RXA-001-L","","","","SKU-RXA-001-L-BOM"
"1","Rang xay","SKU-RXA-001","Xưởng Gu Việt - Túi","XL","SKU-RXA-001-XL","","","","SKU-RXA-001-XL-BOM"
"1","Rang xay","SKU-RXA-002","Xưởng Đặc Biệt - Túi","M","SKU-RXA-002-M","","x","","SKU-RXA-002-M-BOM"
"1","Rang xay","SKU-RXA-002","Xưởng Đặc Biệt - Túi","L","SKU-RXA-002-L","","","","SKU-RXA-002-L-BOM"
"1","Rang xay","SKU-RXA-002","Xưởng Đặc Biệt - Túi","XL","SKU-RXA-002-XL","","","","SKU-RXA-002-XL-BOM"
"2","Trà Sữa","SKU-TSU-001","Hồng Trà Sữa","M","SKU-TSU-001-M","","x","","SKU-TSU-001-M-BOM"
"2","Trà Sữa","SKU-TSU-001","Hồng Trà Sữa","L","SKU-TSU-001-L","","","","SKU-TSU-001-L-BOM"
"2","Trà Sữa","SKU-TSU-001","Hồng Trà Sữa","XL","SKU-TSU-001-XL","","","","SKU-TSU-001-XL-BOM"
"2","Trà Sữa","SKU-TSU-002","Trà Sữa","M","SKU-TSU-002-M","","x","","SKU-TSU-002-M-BOM"
"2","Trà Sữa","SKU-TSU-002","Trà Sữa","L","SKU-TSU-002-L","","","","SKU-TSU-002-L-BOM"
"2","Trà Sữa","SKU-TSU-002","Trà Sữa","XL","SKU-TSU-002-XL","","","","SKU-TSU-002-XL-BOM"
"2","Trà Sữa","SKU-TSU-003","Trà Sữa Cốm","M","SKU-TSU-003-M","","x","","SKU-TSU-003-M-BOM"
"2","Trà Sữa","SKU-TSU-003","Trà Sữa Cốm","L","SKU-TSU-003-L","","","","SKU-TSU-003-L-BOM"
"2","Trà Sữa","SKU-TSU-003","Trà Sữa Cốm","XL","SKU-TSU-003-XL","","","","SKU-TSU-003-XL-BOM"
"3","Cà phê tươi","SKU-CAP-001","Cà Phê Muối","M","SKU-CAP-001-M","","x","","SKU-CAP-001-M-BOM"
"3","Cà phê tươi","SKU-CAP-001","Cà Phê Muối","L","SKU-CAP-001-L","","","","SKU-CAP-001-L-BOM"
"3","Cà phê tươi","SKU-CAP-001","Cà Phê Muối","XL","SKU-CAP-001-XL","","","","SKU-CAP-001-XL-BOM"
"3","Cà phê tươi","SKU-CAP-002","Cà Phê Sữa (Máy)","M","SKU-CAP-002-M","","x","","SKU-CAP-002-M-BOM"
"3","Cà phê tươi","SKU-CAP-002","Cà Phê Sữa (Máy)","L","SKU-CAP-002-L","","","","SKU-CAP-002-L-BOM"
"3","Cà phê tươi","SKU-CAP-002","Cà Phê Sữa (Máy)","XL","SKU-CAP-002-XL","","","","SKU-CAP-002-XL-BOM"
"3","Cà phê tươi","SKU-CAP-003","Cà Phê Trứng","M","SKU-CAP-003-M","","x","","SKU-CAP-003-M-BOM"
"3","Cà phê tươi","SKU-CAP-003","Cà Phê Trứng","L","SKU-CAP-003-L","","","","SKU-CAP-003-L-BOM"
"3","Cà phê tươi","SKU-CAP-003","Cà Phê Trứng","XL","SKU-CAP-003-XL","","","","SKU-CAP-003-XL-BOM"
"3","Cà phê tươi","SKU-CAP-004","Cà Phê Tươi (Máy)","M","SKU-CAP-004-M","","x","","SKU-CAP-004-M-BOM"
"3","Cà phê tươi","SKU-CAP-004","Cà Phê Tươi (Máy)","L","SKU-CAP-004-L","","","","SKU-CAP-004-L-BOM"
"3","Cà phê tươi","SKU-CAP-004","Cà Phê Tươi (Máy)","XL","SKU-CAP-004-XL","","","","SKU-CAP-004-XL-BOM"
"3","Cà phê tươi","SKU-CAP-005","Sữa Tươi Cà Phê","M","SKU-CAP-005-M","","x","","SKU-CAP-005-M-BOM"
"3","Cà phê tươi","SKU-CAP-005","Sữa Tươi Cà Phê","L","SKU-CAP-005-L","","","","SKU-CAP-005-L-BOM"
"3","Cà phê tươi","SKU-CAP-005","Sữa Tươi Cà Phê","XL","SKU-CAP-005-XL","","","","SKU-CAP-005-XL-BOM"
"3","Cà phê tươi","SKU-CAP-006","Sữa Tươi Cà Phê Sương Sáo","M","SKU-CAP-006-M","","x","","SKU-CAP-006-M-BOM"
"3","Cà phê tươi","SKU-CAP-006","Sữa Tươi Cà Phê Sương Sáo","L","SKU-CAP-006-L","","","","SKU-CAP-006-L-BOM"
"3","Cà phê tươi","SKU-CAP-006","Sữa Tươi Cà Phê Sương Sáo","XL","SKU-CAP-006-XL","","","","SKU-CAP-006-XL-BOM"
"3","Cà phê tươi","SKU-CAP-007","Xưởng Bạc Sỉu","M","SKU-CAP-007-M","","x","","SKU-CAP-007-M-BOM"
"3","Cà phê tươi","SKU-CAP-007","Xưởng Bạc Sỉu","L","SKU-CAP-007-L","","","","SKU-CAP-007-L-BOM"
"3","Cà phê tươi","SKU-CAP-007","Xưởng Bạc Sỉu","XL","SKU-CAP-007-XL","","","","SKU-CAP-007-XL-BOM"
"3","Cà phê tươi","SKU-CAP-008","Xưởng Bạc Sỉu (Máy)","M","SKU-CAP-008-M","","x","","SKU-CAP-008-M-BOM"
"3","Cà phê tươi","SKU-CAP-008","Xưởng Bạc Sỉu (Máy)","L","SKU-CAP-008-L","","","","SKU-CAP-008-L-BOM"
"3","Cà phê tươi","SKU-CAP-008","Xưởng Bạc Sỉu (Máy)","XL","SKU-CAP-008-XL","","","","SKU-CAP-008-XL-BOM"
"3","Cà phê tươi","SKU-CAP-009","Xưởng Cốt Dừa - Coco Delight","M","SKU-CAP-009-M","","x","","SKU-CAP-009-M-BOM"
"3","Cà phê tươi","SKU-CAP-009","Xưởng Cốt Dừa - Coco Delight","L","SKU-CAP-009-L","","","","SKU-CAP-009-L-BOM"
"3","Cà phê tươi","SKU-CAP-009","Xưởng Cốt Dừa - Coco Delight","XL","SKU-CAP-009-XL","","","","SKU-CAP-009-XL-BOM"
"3","Cà phê tươi","SKU-CAP-010","Xưởng Cốt Dừa - Đá Viên","M","SKU-CAP-010-M","","x","","SKU-CAP-010-M-BOM"
"3","Cà phê tươi","SKU-CAP-010","Xưởng Cốt Dừa - Đá Viên","L","SKU-CAP-010-L","","","","SKU-CAP-010-L-BOM"
"3","Cà phê tươi","SKU-CAP-010","Xưởng Cốt Dừa - Đá Viên","XL","SKU-CAP-010-XL","","","","SKU-CAP-010-XL-BOM"
"3","Cà phê tươi","SKU-CAP-011","Xưởng Gu Việt","M","SKU-CAP-011-M","","x","","SKU-CAP-011-M-BOM"
"3","Cà phê tươi","SKU-CAP-011","Xưởng Gu Việt","L","SKU-CAP-011-L","","","","SKU-CAP-011-L-BOM"
"3","Cà phê tươi","SKU-CAP-011","Xưởng Gu Việt","XL","SKU-CAP-011-XL","","","","SKU-CAP-011-XL-BOM"
"3","Cà phê tươi","SKU-CAP-012","Xưởng Gu Việt - Phin","M","SKU-CAP-012-M","","x","","SKU-CAP-012-M-BOM"
"3","Cà phê tươi","SKU-CAP-012","Xưởng Gu Việt - Phin","L","SKU-CAP-012-L","","","","SKU-CAP-012-L-BOM"
"3","Cà phê tươi","SKU-CAP-012","Xưởng Gu Việt - Phin","XL","SKU-CAP-012-XL","","","","SKU-CAP-012-XL-BOM"
