"Mã công thức","Mã món","Cỡ","Chi nhánh áp dụng","Mã chi nhánh","Sản lượng 1 lần làm","Đơn vị sản lượng","Ghi chú"
"SKU-RXA-001-M-BOM","SKU-RXA-001","M","Xưởng Đồng Xoài","CNH-XDX","1","Túi",""
"SKU-RXA-001-M-BOM","SKU-RXA-001","M","Xưởng Premium","CNH-XPR","1","Túi",""
"SKU-RXA-001-M-BOM","SKU-RXA-001","M","Xưởng Tư Búa","CNH-XTB","1","Túi",""
"SKU-RXA-001-L-BOM","SKU-RXA-001","L","Xưởng Đồng Xoài","CNH-XDX","1","Túi",""
"SKU-RXA-001-L-BOM","SKU-RXA-001","L","Xưởng Premium","CNH-XPR","1","Túi",""
"SKU-RXA-001-L-BOM","SKU-RXA-001","L","Xưởng Tư Búa","CNH-XTB","1","Túi",""
"SKU-RXA-001-XL-BOM","SKU-RXA-001","XL","Xưởng Đồng Xoài","CNH-XDX","1","Túi",""
"SKU-RXA-001-XL-BOM","SKU-RXA-001","XL","Xưởng Premium","CNH-XPR","1","Túi",""
"SKU-RXA-001-XL-BOM","SKU-RXA-001","XL","Xưởng Tư Búa","CNH-XTB","1","Túi",""
"SKU-RXA-002-M-BOM","SKU-RXA-002","M","Xưởng Đồng Xoài","CNH-XDX","1","Túi",""
"SKU-RXA-002-M-BOM","SKU-RXA-002","M","Xưởng Premium","CNH-XPR","1","Túi",""
"SKU-RXA-002-M-BOM","SKU-RXA-002","M","Xưởng Tư Búa","CNH-XTB","1","Túi",""
"SKU-RXA-002-L-BOM","SKU-RXA-002","L","Xưởng Đồng Xoài","CNH-XDX","1","Túi",""
"SKU-RXA-002-L-BOM","SKU-RXA-002","L","Xưởng Premium","CNH-XPR","1","Túi",""
"SKU-RXA-002-L-BOM","SKU-RXA-002","L","Xưởng Tư Búa","CNH-XTB","1","Túi",""
"SKU-RXA-002-XL-BOM","SKU-RXA-002","XL","Xưởng Đồng Xoài","CNH-XDX","1","Túi",""
"SKU-RXA-002-XL-BOM","SKU-RXA-002","XL","Xưởng Premium","CNH-XPR","1","Túi",""
"SKU-RXA-002-XL-BOM","SKU-RXA-002","XL","Xưởng Tư Búa","CNH-XTB","1","Túi",""
"SKU-TSU-001-M-BOM","SKU-TSU-001","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-TSU-001-M-BOM","SKU-TSU-001","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-TSU-001-M-BOM","SKU-TSU-001","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-TSU-001-L-BOM","SKU-TSU-001","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-TSU-001-L-BOM","SKU-TSU-001","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-TSU-001-L-BOM","SKU-TSU-001","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-TSU-001-XL-BOM","SKU-TSU-001","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-TSU-001-XL-BOM","SKU-TSU-001","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-TSU-001-XL-BOM","SKU-TSU-001","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-TSU-002-M-BOM","SKU-TSU-002","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-TSU-002-M-BOM","SKU-TSU-002","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-TSU-002-M-BOM","SKU-TSU-002","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-TSU-002-L-BOM","SKU-TSU-002","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-TSU-002-L-BOM","SKU-TSU-002","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-TSU-002-L-BOM","SKU-TSU-002","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-TSU-002-XL-BOM","SKU-TSU-002","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-TSU-002-XL-BOM","SKU-TSU-002","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-TSU-002-XL-BOM","SKU-TSU-002","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-TSU-003-M-BOM","SKU-TSU-003","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-TSU-003-M-BOM","SKU-TSU-003","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-TSU-003-M-BOM","SKU-TSU-003","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-TSU-003-L-BOM","SKU-TSU-003","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-TSU-003-L-BOM","SKU-TSU-003","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-TSU-003-L-BOM","SKU-TSU-003","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-TSU-003-XL-BOM","SKU-TSU-003","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-TSU-003-XL-BOM","SKU-TSU-003","XL","Xưởng Premium","CNH-XPR","1","Ly",""
