"Mã công thức","Mã chi nhánh","Chi nhánh","Mã món","Cỡ","Mã nguyên liệu","Tên nguyên liệu","Số lượng","Đơn vị dùng","Hệ số quy đổi về ĐVT kho","Ghi chú"
"SKU-RXA-001-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-RXA-001","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-001-M-BOM","CNH-XPR","Xưởng Premium","SKU-RXA-001","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-001-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-RXA-001","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-001-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-RXA-001","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-001-L-BOM","CNH-XPR","Xưởng Premium","SKU-RXA-001","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-001-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-RXA-001","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-001-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-RXA-001","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-001-XL-BOM","CNH-XPR","Xưởng Premium","SKU-RXA-001","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-001-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-RXA-001","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-002-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-RXA-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-002-M-BOM","CNH-XPR","Xưởng Premium","SKU-RXA-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-002-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-RXA-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-002-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-RXA-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-002-L-BOM","CNH-XPR","Xưởng Premium","SKU-RXA-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-002-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-RXA-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-002-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-RXA-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-002-XL-BOM","CNH-XPR","Xưởng Premium","SKU-RXA-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-RXA-002-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-RXA-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-001-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-TSU-001","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-001-M-BOM","CNH-XPR","Xưởng Premium","SKU-TSU-001","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-001-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-TSU-001","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-001-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-TSU-001","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-001-L-BOM","CNH-XPR","Xưởng Premium","SKU-TSU-001","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-001-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-TSU-001","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-001-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-TSU-001","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-001-XL-BOM","CNH-XPR","Xưởng Premium","SKU-TSU-001","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-001-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-TSU-001","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-002-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-TSU-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
